Freq.	V(N002,N004)	V(n001)	V(n002)	V(n003)	V(n004)	I(C1)	I(R1)	I(R2)	I(R3)	I(R4)	I(R5)	I(V1)
1.00000000000000e+000	(-9.13670766619309e-009dB,-2.62799999815707e-003°)	(-6.02059991328580e+000dB,2.32799121668337e-017°)	(-6.02059992242250e+000dB,-2.62799999815891e-003°)	(-6.02059991327345e+000dB,1.80000000000000e+002°)	(-6.02059992241016e+000dB,1.79997372000002e+002°)	(-1.64036402641974e+002dB,8.99973720000018e+001°)	(-3.39794000867204e+001dB,-3.64813140334907e-021°)	(-1.64036402641974e+002dB,-9.00026279999074e+001°)	(-1.64036402641974e+002dB,8.99973720000926e+001°)	(-1.26020599913286e+002dB,-1.80000000000000e+002°)	(-1.26020599913273e+002dB,1.80000000000000e+002°)	(-3.39791829420681e+001dB,-1.79999982000450e+002°)
1.07177346253629e+000	(-1.04953216341863e-008dB,-2.81662065727646e-003°)	(-6.02059991326706e+000dB,-9.03897566866643e-018°)	(-6.02059992376238e+000dB,-2.81662065727240e-003°)	(-6.02059991329219e+000dB,-1.80000000000000e+002°)	(-6.02059992378751e+000dB,1.79997183379343e+002°)	(-1.63434342652005e+002dB,8.99971833793427e+001°)	(-3.39794000867204e+001dB,-3.95693266090591e-021°)	(-1.63434342652005e+002dB,-9.00028166205644e+001°)	(-1.63434342652005e+002dB,8.99971833795650e+001°)	(-1.26020599913267e+002dB,1.80000000000000e+002°)	(-1.26020599913292e+002dB,-1.80000000000000e+002°)	(-3.39791829420495e+001dB,-1.79999980708560e+002°)
1.14869835499703e+000	(-1.20559602782581e-008dB,-3.01877927413884e-003°)	(-6.02059991326482e+000dB,1.87634575457571e-017°)	(-6.02059992532078e+000dB,-3.01877927413368e-003°)	(-6.02059991329443e+000dB,1.80000000000000e+002°)	(-6.02059992535039e+000dB,1.79996981220726e+002°)	(-1.62832282662238e+002dB,8.99969812207259e+001°)	(-3.39794000867204e+001dB,4.13799239105614e-021°)	(-1.62832282662238e+002dB,-9.00030187792093e+001°)	(-1.62832282662238e+002dB,8.99969812207907e+001°)	(-1.26020599913265e+002dB,-1.80000000000000e+002°)	(-1.26020599913294e+002dB,1.80000000000000e+002°)	(-3.39791829420280e+001dB,-1.79999979323947e+002°)
1.23114441334492e+000	(-1.38486633634758e-008dB,-3.23544751483141e-003°)	(-6.02059991325516e+000dB,1.30579833065623e-017°)	(-6.02059992710382e+000dB,-3.23544751482228e-003°)	(-6.02059991330409e+000dB,1.80000000000000e+002°)	(-6.02059992715275e+000dB,1.79996764552485e+002°)	(-1.62230222672703e+002dB,8.99967645524852e+001°)	(-3.39794000867204e+001dB,3.31618856474031e-021°)	(-1.62230222672703e+002dB,-9.00032354476507e+001°)	(-1.62230222672703e+002dB,8.99967645522366e+001°)	(-1.26020599913255e+002dB,-1.80000000000000e+002°)	(-1.26020599913304e+002dB,1.80000000000000e+002°)	(-3.39791829420034e+001dB,-1.79999977839955e+002°)
1.31950791077289e+000	(-1.59079335624720e-008dB,-3.46766678527722e-003°)	(-6.02059991328884e+000dB,1.30276511734965e-017°)	(-6.02059992919678e+000dB,-3.46766678528088e-003°)	(-6.02059991327040e+000dB,1.80000000000000e+002°)	(-6.02059992917834e+000dB,1.79996532333215e+002°)	(-1.61628162683434e+002dB,8.99965323332147e+001°)	(-3.39794000867204e+001dB,-5.60859358374363e-022°)	(-1.61628162683434e+002dB,-9.00034676668248e+001°)	(-1.61628162683434e+002dB,8.99965323330701e+001°)	(-1.26020599913289e+002dB,-1.80000000000000e+002°)	(-1.26020599913270e+002dB,1.80000000000000e+002°)	(-3.39791829419751e+001dB,-1.79999976249451e+002°)
1.41421356237309e+000	(-1.82734163063246e-008dB,-3.71655323670389e-003°)	(-6.02059991327551e+000dB,-6.39704687424028e-018°)	(-6.02059993154892e+000dB,-3.71655323670214e-003°)	(-6.02059991328374e+000dB,-1.80000000000000e+002°)	(-6.02059993155716e+000dB,1.79996283446763e+002°)	(-1.61026102694471e+002dB,8.99962834467633e+001°)	(-3.39794000867204e+001dB,-3.49484157046114e-021°)	(-1.61026102694471e+002dB,-9.00037165531161e+001°)	(-1.61026102694471e+002dB,8.99962834468839e+001°)	(-1.26020599913276e+002dB,1.80000000000000e+002°)	(-1.26020599913284e+002dB,-1.80000000000000e+002°)	(-3.39791829419425e+001dB,-1.79999974544792e+002°)
1.51571656651040e+000	(-2.09906432810544e-008dB,-3.98330313037186e-003°)	(-6.02059991329167e+000dB,9.77907971673260e-017°)	(-6.02059993428232e+000dB,-3.98330313037729e-003°)	(-6.02059991326758e+000dB,1.80000000000000e+002°)	(-6.02059993425822e+000dB,1.79996016696870e+002°)	(-1.60424042705861e+002dB,8.99960166968696e+001°)	(-3.39794000867204e+001dB,4.90731111154621e-021°)	(-1.60424042705861e+002dB,-9.00039833030087e+001°)	(-1.60424042705861e+002dB,8.99960166969913e+001°)	(-1.26020599913292e+002dB,-1.80000000000000e+002°)	(-1.26020599913268e+002dB,1.80000000000000e+002°)	(-3.39791829419052e+001dB,-1.79999972717784e+002°)
1.62450479271247e+000	(-2.41119167159400e-008dB,-4.26919858734755e-003°)	(-6.02059991329564e+000dB,-6.18108208646612e-017°)	(-6.02059993740755e+000dB,-4.26919858735548e-003°)	(-6.02059991326361e+000dB,-1.80000000000000e+002°)	(-6.02059993737553e+000dB,1.79995730801413e+002°)	(-1.59821982717654e+002dB,8.99957308014127e+001°)	(-3.39794000867204e+001dB,2.83549164312980e-021°)	(-1.59821982717654e+002dB,-9.00042691985076e+001°)	(-1.59821982717654e+002dB,8.99957308014924e+001°)	(-1.26020599913296e+002dB,1.80000000000000e+002°)	(-1.26020599913264e+002dB,-1.80000000000000e+002°)	(-3.39791829418623e+001dB,-1.79999970759645e+002°)
1.74110112659225e+000	(-2.76973180700845e-008dB,-4.57561375095737e-003°)	(-6.02059991327210e+000dB,1.47723554703238e-016°)	(-6.02059994096942e+000dB,-4.57561375095326e-003°)	(-6.02059991328714e+000dB,1.80000000000000e+002°)	(-6.02059994098446e+000dB,1.79995424386249e+002°)	(-1.59219922729911e+002dB,8.99954243862490e+001°)	(-3.39794000867204e+001dB,-1.86983974899523e-023°)	(-1.59219922729911e+002dB,-9.00045756136391e+001°)	(-1.59219922729911e+002dB,8.99954243862812e+001°)	(-1.26020599913272e+002dB,-1.80000000000000e+002°)	(-1.26020599913287e+002dB,1.80000000000000e+002°)	(-3.39791829418130e+001dB,-1.79999968660963e+002°)
1.86606598307361e+000	(-3.18158681184064e-008dB,-4.90402139154204e-003°)	(-6.02059991326231e+000dB,-4.48976234387676e-017°)	(-6.02059994507818e+000dB,-4.90402139153232e-003°)	(-6.02059991329693e+000dB,-1.80000000000000e+002°)	(-6.02059994511280e+000dB,1.79995095978608e+002°)	(-1.58617862742702e+002dB,8.99950959786085e+001°)	(-3.39794000867204e+001dB,-2.79568812372050e-021°)	(-1.58617862742702e+002dB,-9.00049040213910e+001°)	(-1.58617862742702e+002dB,8.99950959786090e+001°)	(-1.26020599913262e+002dB,1.80000000000000e+002°)	(-1.26020599913297e+002dB,-1.80000000000000e+002°)	(-3.39791829417564e+001dB,-1.79999966411652e+002°)
